stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
10376,,Dix St and Opp Bedford St,,41.680683,-72.759108,,,,,
10377,,DIX Ave and Opp Camden St,,41.680789,-72.758031,,,,,
10378,,DIX AVE and 5th St,,41.680994,-72.755901,,,,,
1038,,Forbes St and Opp Salem Rd,,41.745488,-72.604917,,,,,
10381,,Thorniley St and 4th St,,41.678215,-72.755892,,,,,
10382,,4th St and Opp Prince Ave,,41.67716,-72.755881,,,,,
10383,,Charles St and Judd Ave,,41.675909,-72.755652,,,,,
10384,,Charles St and Sunrise Ave,,41.674479,-72.7554,,,,,
10385,,Charles St and Newington Ave,,41.672396,-72.755015,,,,,
10386,,Newington Ave and Childs St,,41.671968,-72.756382,,,,,
10387,,Newington Ave and Market St,,41.671773,-72.758294,,,,,
10388,,Chapman St and Millard St,,41.67131,-72.761174,,,,,
10389,,Chapman St and Rhodes St,,41.669799,-72.760909,,,,,
1039,,Brewer St and 502 Brewer St,,41.746705,-72.605834,,,,,
10390,,Chapman St and Linden St,,41.668342,-72.760656,,,,,
10391,,Chapman St and Belden St,,41.667225,-72.760476,,,,,
10392,,Belden St and Goodwin St,,41.666967,-72.762097,,,,,
1040,,Brewer St and Roxbury Rd,,41.746414,-72.607966,,,,,
10400,,East St and Linden St,,41.667549,-72.765315,,,,,
10401,,East St and Jubilee St,,41.66906,-72.765217,,,,,
10402,,East St and Opp Florence St,,41.67048,-72.764381,,,,,
10403,,E Main St and Cottage Pl,,41.672035,-72.764476,,,,,
10404,,E Main St and Olive St,,41.671653,-72.768614,,,,,
10405,,E Main St and Stanley St,,41.671386,-72.771385,,,,,
10406,,E Main St and New Britain Plaza,,41.670621,-72.779189,,,,,
10409,,Chestnut St and Columbus Blvd,,41.666088,-72.774789,,,,,
10410,,Chestnut St and Stanley St,,41.666382,-72.771728,,,,,
10412,,Stanley St and Park St,,41.66581,-72.771244,,,,,
10413,,Stanley St and Pleasant St,,41.663968,-72.770363,,,,,
10414,,Stanley St and Kelsey St,,41.661912,-72.769009,,,,,
